neuron,in_trigger_window,z1_clean,z1_test,z1_delta,abs_z1_delta,a1_clean,a1_test,a1_delta,abs_a1_delta,expected_a1_clean,expected_a1_test,clean_relu_error,test_relu_error,abs_clean_relu_error,abs_test_relu_error,clean_violation,violation,neg_not_zeroed,pos_unexpectedly_zeroed,finite_wrong_value,mode,attempt
47,False,-0.16736066,-0.16736066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
48,False,-0.3459542,-0.3459542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
49,False,3.2196026,3.2196026,0.0,0.0,3.2196026,3.2196026,0.0,0.0,3.2196026,3.2196026,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
50,False,-0.674643,-0.674643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
51,False,1.6970543,1.6970543,0.0,0.0,1.6970543,1.6970543,0.0,0.0,1.6970543,1.6970543,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
52,False,-8.664921,-8.664921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
53,False,1.5884907,1.5884907,0.0,0.0,1.5884907,1.5884907,0.0,0.0,1.5884907,1.5884907,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
54,False,-2.4674418,-2.4674418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
55,False,3.3855836,3.3855836,0.0,0.0,3.3855836,3.3855836,0.0,0.0,3.3855836,3.3855836,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
56,False,-0.18046221,-0.18046221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_glitch_control,1
